Day,Number of Vaccinations (First Dose)
2021-01-27,26.00
2021-01-28,541.00
2021-02-07,31160.00
2021-02-08,46509.00
2021-02-09,101082.00
2021-02-10,154914.00
2021-02-11,204540.00
2021-02-13,194371.00
2021-02-14,169353.00
2021-02-15,226678.00
2021-02-16,226902.00
2021-02-17,226755.00
2021-02-18,261945.00
2021-02-20,234564.00
2021-02-22,225280.00
2021-02-23,182896.00
2021-02-24,181985.00
2021-02-25,181439.00
2021-02-27,133833.00
2021-02-28,125752.00
2021-03-01,116300.00
2021-03-02,114680.00
2021-03-03,118654.00
2021-03-04,121010.00
2021-03-06,100983.00
2021-03-07,107200.00
2021-03-08,117148.00
2021-03-09,107463.00
2021-03-10,104990.00
2021-03-11,99174.00
2021-03-13,84292.00
2021-03-14,95675.00
2021-03-15,87860.00
2021-03-16,94437.00
2021-03-18,107433.00
2021-03-20,72923.00
2021-03-21,80222.00
2021-03-22,70933.00
2021-03-23,78330.00
2021-03-24,78817.00
2021-03-25,70407.00
2021-03-27,65368.00
2021-03-28,58424.00
2021-03-29,56431.00
2021-03-31,50752.00
2021-04-01,42360.00
2021-04-03,39843.00
2021-04-04,45538.00
2021-04-05,41322.00
2021-04-06,16181.00
2021-04-07,13028.00
2021-04-08,14804.00
2021-04-10,19943.00
2021-04-11,23657.00
2021-04-12,22456.00
2021-04-13,26750.00
2021-04-15,10572.00
2021-04-17,12157.00
2021-04-18,15048.00
2021-04-19,15057.00
2021-04-20,15938.00
2021-04-21,16817.00
2021-04-22,16784.00
2021-04-24,20194.00
2021-04-25,19520.00
2021-04-26,891.00
2021-04-27,325.00
2021-04-28,30.00
2021-04-29,10.00
2021-05-02,53.00
2021-05-03,10.00
2021-05-04,38.00
2021-05-05,54.00
2021-05-06,43.00
2021-05-08,2.00
2021-05-09,44.00
2021-05-11,10.00
2021-05-12,2.00
2021-05-23,59.00
2021-05-24,30.00
2021-05-25,501.00
2021-05-27,14.00
2021-05-29,738.00
2021-05-30,903.00
2021-06-03,20.00
2021-06-06,30.00
2021-06-19,4320.00
2021-06-20,4064.00
2021-06-21,6007.00
2021-06-22,6015.00
2021-06-23,5692.00
2021-06-24,4720.00
2021-06-26,6784.00
2021-06-27,6990.00
2021-06-28,4291.00
2021-06-29,4837.00
2021-06-30,4975.00
2021-07-01,4120.00
2021-07-03,7949.00
2021-07-04,8616.00
2021-07-05,9599.00
2021-07-06,9116.00
2021-07-07,10452.00
2021-07-08,22800.00
2021-07-10,44762.00
2021-07-11,50281.00
2021-07-12,69623.00
2021-07-13,138167.00
2021-07-14,178196.00
2021-07-15,196633.00
2021-07-17,182016.00
2021-07-18,195375.00
2021-07-19,180809.00
2021-07-24,159663.00
2021-07-25,211375.00
2021-07-26,217058.00
2021-07-27,241251.00
2021-07-28,251741.00
2021-07-29,250928.00
2021-07-31,284725.00
2021-08-01,302069.00
2021-08-02,290685.00
2021-08-03,298588.00
2021-08-04,312536.00
2021-08-05,279844.00
2021-08-07,3070268.00
2021-08-08,596224.00
2021-08-09,494721.00
2021-08-10,318437.00
2021-08-11,253715.00
2021-08-12,288507.00
2021-08-14,149914.00
2021-08-16,174880.00
2021-08-17,161491.00
2021-08-18,179758.00
2021-08-19,180965.00
2021-08-21,227526.00
2021-08-22,275209.00
2021-08-23,287210.00
2021-08-24,293857.00
2021-08-25,299915.00
2021-08-26,285908.00
2021-08-28,242665.00
2021-08-29,218051.00
2021-08-31,200724.00
2021-09-01,187150.00
2021-09-02,199025.00
2021-09-04,205090.00
2021-09-05,259401.00
2021-09-06,274833.00
2021-09-07,226451.00
2021-09-08,300794.00
2021-09-09,294255.00
2021-09-11,230769.00
2021-09-12,255014.00
2021-09-13,217100.00
2021-09-14,184893.00
2021-09-15,235755.00
2021-09-16,291685.00
2021-09-18,297017.00
2021-09-19,342960.00
2021-09-20,332808.00
2021-09-21,340551.00
2021-09-22,345438.00
2021-09-23,356955.00
2021-09-25,327281.00
2021-09-26,381048.00
2021-09-27,302248.00
2021-09-28,6625123.00
2021-09-29,1186093.00
2021-09-30,632897.00
2021-10-02,341578.00
2021-10-03,451363.00
2021-10-04,411464.00
2021-10-05,446088.00
2021-10-06,418131.00
2021-10-07,435305.00
2021-10-09,349528.00
2021-10-10,420194.00
2021-10-11,320207.00
2021-10-12,286419.00
2021-10-13,266544.00
2021-10-14,274201.00
2021-10-16,300023.00
2021-10-17,428016.00
2021-10-18,363618.00
2021-10-19,330760.00
2021-10-21,392214.00
2021-10-23,335106.00
2021-10-24,393181.00
2021-10-25,337988.00
2021-10-26,330868.00
2021-10-27,315190.00
2021-10-28,247662.00
2021-10-30,266113.00
2021-10-31,372331.00
2021-11-01,310415.00
2021-11-02,366337.00
2021-11-03,303942.00
2021-11-04,269414.00
2021-11-06,1346997.00
2021-11-07,916486.00
2021-11-08,1129320.00
2021-11-09,2593836.00
2021-11-10,1049734.00
2021-11-11,985671.00
2021-11-12,2530.00
2021-11-13,217057.00
2021-11-14,284511.00
2021-11-15,253516.00
2021-11-16,499779.00
2021-11-17,470506.00
2021-11-18,607084.00
2021-11-20,715369.00
2021-11-21,476984.00
2021-11-22,514388.00
2021-11-23,1102993.00
2021-11-24,723227.00
2021-11-25,790247.00
2021-11-27,955657.00
2021-11-28,536223.00
2021-11-29,822722.00
2021-11-30,1496419.00
2021-12-01,998927.00
2021-12-02,1038056.00
2021-12-03,1899.00
2021-12-04,642635.00
2021-12-05,666819.00
2021-12-06,225731.00
2021-12-07,311518.00
2021-12-08,348297.00
2021-12-09,320380.00
2021-12-11,227487.00
2021-12-12,291402.00
2021-12-13,325250.00
2021-12-14,338574.00
2021-12-15,367004.00
2021-12-18,363539.00
2021-12-19,315552.00
