,Day,Lab Test,Confirmed case,Death Case,Number of Vaccinations (First Dose),Number of Vaccinations (Second Dose)
0,2020-04-04 00:00:00,434,9,2,0.0,0.0
1,2020-04-05 00:00:00,367,18,1,0.0,0.0
2,2020-04-06 00:00:00,468,35,3,0.0,0.0
3,2020-04-07 00:00:00,679,41,5,0.0,0.0
4,2020-04-08 00:00:00,981,54,3,0.0,0.0
5,2020-04-09 00:00:00,905,112,1,0.0,0.0
6,2020-04-10 00:00:00,1184,94,6,0.0,0.0
7,2020-04-11 00:00:00,954,58,3,0.0,0.0
8,2020-04-12 00:00:00,1340,139,4,0.0,0.0
9,2020-04-13 00:00:00,1570,182,5,0.0,0.0
10,2020-04-14 00:00:00,1905,209,7,0.0,0.0
11,2020-04-15 00:00:00,1740,219,4,0.0,0.0
12,2020-04-16 00:00:00,2019,341,10,0.0,0.0
13,2020-04-17 00:00:00,2190,266,15,0.0,0.0
14,2020-04-18 00:00:00,2114,306,9,0.0,0.0
15,2020-04-19 00:00:00,2634,312,7,0.0,0.0
16,2020-04-20 00:00:00,2779,492,10,0.0,0.0
17,2020-04-21 00:00:00,2974,434,9,0.0,0.0
18,2020-04-22 00:00:00,3096,390,10,0.0,0.0
19,2020-04-23 00:00:00,3416,414,7,0.0,0.0
20,2020-04-24 00:00:00,3686,503,4,0.0,0.0
21,2020-04-25 00:00:00,3337,309,9,0.0,0.0
22,2020-04-26 00:00:00,3476,418,5,0.0,0.0
23,2020-04-27 00:00:00,3812,497,7,0.0,0.0
24,2020-04-28 00:00:00,4332,549,3,0.0,0.0
25,2020-04-29 00:00:00,4968,641,8,0.0,0.0
26,2020-04-30 00:00:00,4965,564,5,0.0,0.0
27,2020-05-01 00:00:00,5573,571,2,0.0,0.0
28,2020-05-02 00:00:00,5827,552,5,0.0,0.0
29,2020-05-03 00:00:00,5368,665,2,0.0,0.0
30,2020-05-04 00:00:00,6260,688,5,0.0,0.0
31,2020-05-05 00:00:00,5711,786,1,0.0,0.0
32,2020-05-06 00:00:00,6241,790,3,0.0,0.0
33,2020-05-07 00:00:00,5867,706,13,0.0,0.0
34,2020-05-08 00:00:00,5941,709,7,0.0,0.0
35,2020-05-09 00:00:00,5465,636,8,0.0,0.0
36,2020-05-10 00:00:00,5638,887,14,0.0,0.0
37,2020-05-11 00:00:00,7208,1034,11,0.0,0.0
38,2020-05-12 00:00:00,6773,969,11,0.0,0.0
